"_id","_index","_score","_type",altitude,createTime,currentFlightDuration,"currentFlightDuration.keyword",currentFlightMileage,droneSN,droneType,groundSpeed,heading,latitude,longitude,model,pitch,roll,taskId,taskLogId,taskName,verticalSpeed
34XxgJYBnF7jCuO6JPCJ,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:49.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.7","31.8240780051837","117.09491792714455",M30T,"3.7","-0.9","1,917,151,911,515,332,608",1917151940770603000,1,0
3YXxgJYBnF7jCuO6HPDj,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:47.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.9","31.82407800693563","117.09491781603013",M30T,"3.7","-1","1,917,151,911,515,332,608",1917151940770603000,1,0
24XxgJYBnF7jCuO6FPDv,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:45.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"135.6","31.824077917766857","117.0949179971306",M30T,"3.7","-1.1","1,917,151,911,515,332,608",1917151940770603000,1,0
"2YXxgJYBnF7jCuO6DPD-","task-uav-data","-","_doc","52.622","2025-04-29T17:46:43.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.4","31.82407809069011","117.09491788565195",M30T,"3.9","-1","1,917,151,911,515,332,608",1917151940770603000,1,0
14XxgJYBnF7jCuO6BfBM,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:41.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.2","31.824078044167457","117.09491784483748",M30T,"3.9","-0.9","1,917,151,911,515,332,608",1917151940770603000,1,0
"1YXwgJYBnF7jCuO6_fCN","task-uav-data","-","_doc","52.622","2025-04-29T17:46:39.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.3","31.824078081570626","117.09491795256284",M30T,"3.9","-0.8","1,917,151,911,515,332,608",1917151940770603000,1,0
04XwgJYBnF7jCuO69fDP,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:37.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.4","31.824078061057136","117.09491787558068",M30T,4,"-0.3","1,917,151,911,515,332,608",1917151940770603000,1,0
0YXwgJYBnF7jCuO67fDy,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:35.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.5","31.82407808144641","117.09491787687125",M30T,4,"-0.4","1,917,151,911,515,332,608",1917151940770603000,1,0
z4XwgJYBnF7jCuO65vAM,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:33.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.6","31.824078036191658","117.0949178856507",M30T,4,"-0.3","1,917,151,911,515,332,608",1917151940770603000,1,0
zYXwgJYBnF7jCuO63vAy,"task-uav-data","-","_doc","52.622","2025-04-29T17:46:31.000Z","-","-",0,1581F5BMD23B4002FY18,3,0,"134.6","31.824078056242527","117.09491788933215",M30T,4,"-0.4","1,917,151,911,515,332,608",1917151940770603000,1,0
